CountryName	CountryCode	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]
Myanmar	MMR	17.2385821	17.74679786	18.33761782	18.79199767	19.04331854	19.17460123	19.22270355	19.21304448	19.27328964	..	..
Namibia	NAM	47.15227927	47.15227927	47.1377036	47.1377036	47.1377036	47.13891824	47.13891824	47.13891824	47.13891824	..	..
Nepal	NPL	29.3128706	29.19427973	29.06173701	28.96407394	28.88036275	28.78269969	28.78688525	28.74782002	28.74782002	..	..
Netherlands	NLD	57.39632701	56.86018957	56.70616114	57.14751185	56.8455381	55.50844945	55.11269276	54.61743772	54.87377487	..	..
New Caledonia	NCL	12.58752735	12.28665208	11.93107221	11.52078775	11.24726477	10.8643326	10.41028446	10.08205689	10.07658643	..	..
New Zealand	NZL	44.47989062	43.20003038	43.62538453	43.19623258	43.63677794	43.32535794	43.18483916	42.5711139	42.17842087	..	..
Nicaragua	NIC	44.09174007	43.21090244	43.08625561	42.54611933	42.42147249	41.76499917	42.13810869	42.40485292	42.08908094	..	..
Niger	NER	33.91884424	33.93779111	34.56382727	34.56382727	34.56382727	34.72171785	35.1164443	35.35328018	35.35328018	..	..
Nigeria	NGA	79.82256772	80.48135094	80.92053976	79.82256772	75.76007115	76.85804319	77.95601524	79.05398729	77.73642083	..	..
North America	NAC	26.25805512	26.02885271	26.19160931	26.20054953	25.98002958	25.85908761	25.61631009	25.98834054	25.80389321	..	..
Northern Mariana Islands	MNP	6.52173913	6.52173913	6.52173913	6.52173913	6.52173913	6.52173913	6.52173913	6.52173913	6.52173913	..	..
Norway	NOR	2.836452244	2.833714356	2.825500691	2.805787896	2.777286479	2.754315596	2.735150379	2.718175471	2.702870676	..	..
OECD members	OED	37.22815363	36.7579141	36.49572534	36.26090549	35.86340235	35.43851507	35.58469404	35.64573962	35.27748793	..	..
Oman	OMN	4.733441034	4.726978998	4.733441034	4.739903069	4.762520194	4.757996769	4.768982229	4.758642973	4.744749596	..	..
